Chunk,fc_model,amp_model,Time_start_sec,fc_phys_Hz
0,0.5285413861274719,0.5700567364692688,0,0.0010323073947802186
1,0.5657177567481995,0.5554089546203613,512,0.001104917493648827
2,0.5495802760124207,0.5293920040130615,1024,0.001073398976586759
3,0.5660179257392883,0.5544692873954773,1536,0.0011055037612095475
4,0.5561221837997437,0.5603561401367188,2048,0.0010861761402338743
5,0.5684638619422913,0.5552607774734497,2560,0.0011102809803560376
6,0.5544880032539368,0.5628141760826111,3072,0.0010829843813553452
7,0.5470684766769409,0.5595494508743286,3584,0.0010684931185096502
8,0.5556588768959045,0.5441204309463501,4096,0.0010852712439373136
9,0.5626090168952942,0.5477657914161682,4608,0.0010988457361236215
10,0.5417524576187134,0.5455003380775452,5120,0.0010581102687865496
11,0.5587267875671387,0.5604830980300903,5632,0.0010912632569670677
12,0.5479466319084167,0.5771163702011108,6144,0.0010702082654461265
13,0.5623235702514648,0.5578199625015259,6656,0.0010982882231473923
14,0.5507218241691589,0.5746178030967712,7168,0.0010756285628303885
15,0.5406468510627747,0.5523901581764221,7680,0.0010559508809819818
16,0.5532472133636475,0.5584042072296143,8192,0.001080560963600874
17,0.5460972785949707,0.5705907344818115,8704,0.0010665962472558022
18,0.536551833152771,0.557791531085968,9216,0.0010479527991265059
19,0.543674647808075,0.552964985370636,9728,0.0010618645465001464
20,0.5438543558120728,0.5552506446838379,10240,0.0010622155386954546
21,0.5624684691429138,0.5625377297401428,10752,0.0010985712287947536
22,0.5457145571708679,0.5510373711585999,11264,0.0010658487444743514
23,0.5539584755897522,0.5448064208030701,11776,0.0010819501476362348
24,0.5506500601768494,0.5505689978599548,12288,0.001075488398782909
25,0.5626016855239868,0.5567400455474854,12800,0.0010988314170390368
26,0.5583478808403015,0.5698342323303223,13312,0.001090523204766214
27,0.5554941296577454,0.5617155432701111,13824,0.001084949471987784
28,0.5595046877861023,0.5611996054649353,14336,0.001092782593332231
29,0.5608745813369751,0.5685706734657288,14848,0.0010954581666737795
30,0.5529345273971558,0.5614081621170044,15360,0.0010799502488225698
31,0.5726386308670044,0.5759226679801941,15872,0.001118434825912118
32,0.5523642897605896,0.5533889532089233,16384,0.0010788365034386516
33,0.5507360696792603,0.5544419884681702,16896,0.0010756563860923052
34,0.5668734312057495,0.5667601227760315,17408,0.0011071746703237295
35,0.5431323647499084,0.556516170501709,17920,0.001060805399902165
36,0.5629656314849854,0.5677360892295837,18432,0.001099542248994112
37,0.5561307668685913,0.5636327862739563,18944,0.0010861929040402174
38,0.5715947151184082,0.5535518527030945,19456,0.001116395927965641
39,0.5521087646484375,0.55120849609375,19968,0.0010783374309539795
40,0.554368793964386,0.5669683218002319,20480,0.0010827515507116914
41,0.5453307628631592,0.5628534555435181,20992,0.0010650991462171078
42,0.5393379926681519,0.5582034587860107,21504,0.001053394516929984
43,0.5470267534255981,0.5567459464073181,22016,0.0010684116277843714
44,0.5675719976425171,0.5615641474723816,22528,0.0011085390578955412
45,0.5595569610595703,0.5491606593132019,23040,0.0010928846895694733
46,0.54157555103302,0.5466166734695435,23552,0.0010577647481113672
47,0.561474621295929,0.5522962808609009,24064,0.0010966301197186112
48,0.565201997756958,0.5591287016868591,24576,0.0011039101518690586
49,0.5497503876686096,0.5584496259689331,25088,0.0010737312259152532
50,0.5420740842819214,0.5481269955635071,25600,0.0010587384458631277
51,0.5480650663375854,0.562328577041626,26112,0.0010704395826905966
52,0.5420882701873779,0.5594630241394043,26624,0.0010587661527097225
53,0.537047266960144,0.5667075514793396,27136,0.0010489204432815313
54,0.5611114501953125,0.5708566904067993,27648,0.0010959208011627197
55,0.5537431836128235,0.5566393136978149,28160,0.0010815296554937959
56,0.5458703637123108,0.5581450462341309,28672,0.001066153054125607
57,0.5447816252708435,0.5677427053451538,29184,0.0010640266118571162
58,0.5475488305091858,0.5662901401519775,29696,0.0010694313095882535
59,0.5528389811515808,0.5732578039169312,30208,0.0010797636350616813
60,0.5378559827804565,0.5521163940429688,30720,0.0010504999663680792
61,0.5610495209693909,0.5747444033622742,31232,0.0010957998456433415
62,0.5562153458595276,0.5586650967597961,31744,0.0010863580973818898
63,0.553066611289978,0.5587757229804993,32256,0.0010802082251757383
64,0.5539772510528564,0.5548684597015381,32768,0.0010819868184626102
65,0.540907084941864,0.5533533692359924,33280,0.0010564591502770782
66,0.5659180879592896,0.5568932890892029,33792,0.0011053087655454874
67,0.5654038786888123,0.578870952129364,34304,0.0011043044505640864
68,0.5463217496871948,0.5607559084892273,34816,0.0010670346673578024
69,0.5399053692817688,0.543601930141449,35328,0.0010545026743784547
70,0.5483865737915039,0.5571199059486389,35840,0.001071067526936531
71,0.5654091238975525,0.5550401210784912,36352,0.0011043146951124072
72,0.547317385673523,0.5570114850997925,36864,0.0010689792688935995
73,0.5600467920303345,0.5529916882514954,37376,0.001093841390684247
74,0.5486923456192017,0.553504228591919,37888,0.0010716647375375032
75,0.5495563745498657,0.564765989780426,38400,0.0010733522940427065
76,0.5677263140678406,0.5668911337852478,38912,0.0011088404571637511
77,0.5631211400032043,0.5629515647888184,39424,0.0010998459765687585
78,0.5257145762443542,0.559608519077301,39936,0.0010267862817272544
79,0.5519610643386841,0.5642977356910706,40448,0.0010780489537864923
80,0.53498774766922,0.5702418684959412,40960,0.0010448979446664453
81,0.5404186248779297,0.5569095611572266,41472,0.0010555051267147064
82,0.555301308631897,0.5566572546958923,41984,0.0010845728684216738
83,0.542312502861023,0.5668506622314453,42496,0.0010592041071504354
84,0.5357725024223328,0.5372015237808228,43008,0.0010464306687936187
85,0.5434367656707764,0.5551638007164001,43520,0.001061399932950735
86,0.5529208183288574,0.5679848790168762,44032,0.0010799234732985497
87,0.5550018548965454,0.555492103099823,44544,0.0010839879978448153
88,0.5676597952842712,0.5627145171165466,45056,0.0011087105376645923
89,0.560092568397522,0.5445017218589783,45568,0.00109393079765141
90,0.5397775173187256,0.5664461851119995,46080,0.001054252963513136
91,0.5475243330001831,0.5623161792755127,46592,0.0010693834628909826
92,0.5433322191238403,0.5633322596549988,47104,0.0010611957404762506
93,0.5490704774856567,0.5469987988471985,47616,0.0010724032763391733
94,0.5636881589889526,0.5464138388633728,48128,0.0011009534355252981
95,0.5540398359298706,0.5620180368423462,48640,0.0010821090545505285
96,0.5592608451843262,0.5680773854255676,49152,0.001092306338250637
97,0.5675488114356995,0.5553779006004333,49664,0.0011084937723353505
98,0.5239453315734863,0.5570452213287354,50176,0.0010233307257294655
99,0.5399551391601562,0.5410324335098267,50688,0.0010545998811721802
100,0.5431140065193176,0.5559837222099304,51200,0.0010607695439830422
101,0.5479156374931335,0.553997814655304,51712,0.0010701477294787765
102,0.5600455403327942,0.5502220392227173,52224,0.0010938389459624887
103,0.5576461553573608,0.5484369993209839,52736,0.0010891526471823454
104,0.5498358011245728,0.5497224926948547,53248,0.0010738980490714312
105,0.561147928237915,0.563142716884613,53760,0.0010959920473396778
106,0.5485999584197998,0.5566449165344238,54272,0.0010714842937886715
107,0.5555434823036194,0.544434666633606,54784,0.0010850458638742566
108,0.5618861317634583,0.5481410622596741,55296,0.0010974338511005044
109,0.5531128644943237,0.5577893853187561,55808,0.001080298563465476
110,0.5565624237060547,0.5592732429504395,56320,0.001087035983800888
111,0.5671764612197876,0.5448023080825806,56832,0.0011077665258198977
112,0.5409095287322998,0.5534625053405762,57344,0.001056463923305273
113,0.5468310713768005,0.5608208775520325,57856,0.0010680294362828135
114,0.5702597498893738,0.5627740621566772,58368,0.0011137885740026832
115,0.5414218306541443,0.543181836605072,58880,0.0010574645129963756
116,0.5415157675743103,0.5585423111915588,59392,0.0010576479835435748
117,0.5576708912849426,0.5761905312538147,59904,0.0010892009595409036
118,0.5552942156791687,0.5666464567184448,60416,0.0010845590149983764
119,0.5564360618591309,0.5528311133384705,60928,0.001086789183318615
120,0.5605871081352234,0.5625752210617065,61440,0.0010948966955766082
121,0.550345242023468,0.5750247836112976,61952,0.001074893050827086
122,0.5664185285568237,0.565568745136261,62464,0.0011062861885875463
123,0.5770801305770874,0.5464472770690918,62976,0.0011271096300333738
124,0.5577738881111145,0.5641411542892456,63488,0.0010894021252170205
125,0.5431767106056213,0.5667288303375244,64000,0.0010608920129016042
126,0.5580230951309204,0.5508167743682861,64512,0.001089888857677579
127,0.5660463571548462,0.5545952320098877,65024,0.001105559291318059
128,0.5651417374610901,0.5527036190032959,65536,0.0011037924559786916
129,0.5587434768676758,0.5512372255325317,66048,0.0010912958532571793
130,0.5574139356613159,0.5620721578598022,66560,0.0010886990930885077
131,0.5750647783279419,0.5593598484992981,67072,0.0011231733951717615
132,0.5637992024421692,0.5570778846740723,67584,0.0011011703172698617
133,0.570355236530304,0.5612354874610901,68096,0.00111397507134825
134,0.5847713351249695,0.5572174787521362,68608,0.001142131513915956
135,0.553852915763855,0.5564452409744263,69120,0.0010817439761012793
136,0.5509575009346008,0.5647003650665283,69632,0.0010760888690128922
137,0.5564775466918945,0.5421164035797119,70144,0.0010868702083826065
138,0.5648996829986572,0.5695756077766418,70656,0.0011033196933567524
139,0.5658342838287354,0.5617641806602478,71168,0.0011051450856029987
140,0.5654244422912598,0.5657347440719604,71680,0.0011043446138501167
141,0.5514429211616516,0.5347070097923279,72192,0.0010770369553938508
142,0.5668992400169373,0.5536466240882874,72704,0.0011072250781580806
143,0.5675303936004639,0.5734862685203552,73216,0.001108457800000906
144,0.5358038544654846,0.5607119798660278,73728,0.0010464919032528996
145,0.5625010132789612,0.5707667469978333,74240,0.001098634791560471
146,0.5624304413795471,0.5443646311759949,74752,0.001098496955819428
147,0.5645512938499451,0.5546898245811462,75264,0.001102639245800674
148,0.5340341925621033,0.5561971664428711,75776,0.001043035532347858
149,0.5701318979263306,0.5343185663223267,76288,0.0011135388631373644
150,0.5469942092895508,0.5567795634269714,76800,0.0010683480650186539
151,0.5552613139152527,0.5347264409065247,77312,0.001084494753740728
152,0.5716904997825623,0.5434698462486267,77824,0.001116583007387817
153,0.553123414516449,0.5509753823280334,78336,0.0010803191689774394
154,0.5648391246795654,0.5803006887435913,78848,0.0011032014153897762
155,0.5449507236480713,0.5367339253425598,79360,0.0010643568821251392
156,0.5404022336006165,0.5675345659255981,79872,0.001055473112501204
157,0.5521345138549805,0.5872611403465271,80384,0.0010783877223730087
158,0.5556175708770752,0.5574983954429626,80896,0.0010851905681192875
159,0.5509306788444519,0.5468059182167053,81408,0.0010760364821180701
160,0.5194443464279175,0.5492005348205566,81920,0.0010145397391170263
161,0.5617704391479492,0.5550423264503479,82432,0.0010972078889608383
162,0.5351369976997375,0.5487286448478699,82944,0.0010451894486323
163,0.5307008624076843,0.5809550285339355,83456,0.0010365251218900084
164,0.5448543429374695,0.5579445362091064,83968,0.001064168638549745
165,0.5450336933135986,0.5459992289543152,84480,0.0010645189322531223
166,0.5597320199012756,0.5629585385322571,84992,0.001093226601369679
167,0.5389472842216492,0.5532466173171997,85504,0.0010526314144954085
168,0.5358327627182007,0.5434271097183228,86016,0.0010465483646839857
169,0.5616063475608826,0.5392006039619446,86528,0.0010968873975798488
170,0.5605120658874512,0.5583159327507019,87040,0.001094750128686428
